,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
HLA-DPA1,0.6545,0.188,0.4922,0.7935,0.726,0.6885,0.7695,0.814,0.7436,0.3872,0.6614,0.7676,0.8157,0.7365
HLA-DPB1,0.4248,0.1368,0.4907,0.7692,0.755,0.5824,0.6718,0.6939,0.7128,0.2024,0.5032,0.7337,0.7323,0.6757
HLA-DQA1,0.5092,0.284,0.5673,0.757,0.7499,0.7299,0.6001,0.7174,0.5693,0.2775,0.5236,0.7716,0.781,0.5671
HLA-DQB1,0.6853,0.2615,0.5523,0.7939,0.7291,0.7401,0.7614,0.8201,0.8307,0.2433,0.5329,0.6517,0.7577,0.6716
HLA-DQB2,0.334,,,,,,,0.7347,,,,,,
HLA-DRA,0.5487,0.2417,0.6028,0.8297,0.7723,0.8163,0.734,0.7712,0.7058,0.3794,0.521,0.7812,0.801,0.7663
HLA-DRB1,0.5138,0.3645,0.6499,0.6857,0.8131,0.4037,0.4692,0.6032,0.704,0.5904,0.4084,0.7503,0.7243,0.6668
HLA-DRB5,0.5093,0.2047,0.4583,0.6504,0.5736,0.6171,0.6998,0.6883,0.6586,,0.5294,0.6698,0.7419,0.664
HLA-E,0.5554,0.1302,0.4889,0.5477,0.6076,0.6281,0.7423,0.3532,0.5632,0.3964,0.4744,0.5096,0.6761,0.7881
HLA-F,0.593,0.3251,0.49,0.7683,0.5642,0.8294,0.8328,0.6087,0.6333,0.1261,0.62,,0.6638,0.8094
HLA-G,0.3482,,0.062,,0.3142,0.4762,,0.3351,,,,,,
MR1,0.2416,0.1429,,0.4566,,0.193,0.5613,0.2993,0.3152,,,,0.5125,0.4493
HLCS,0.6426,0.1694,-0.0284,0.5538,0.4856,0.3161,0.6737,0.6569,0.8329,0.2396,0.2857,0.3725,0.4563,0.6062
HMBS,0.4589,0.3879,0.3112,0.4418,0.6007,0.0567,0.5291,0.3314,0.6248,-0.0062,0.3101,0.4515,0.2762,0.418
HMGB1,0.4984,0.2567,0.2587,0.4544,0.571,0.5548,0.5413,0.4505,0.4028,-0.0024,-0.0996,0.3499,0.6039,0.528
HMGB2,0.4793,0.2556,0.2981,0.5177,0.6394,0.2482,0.3069,0.5791,0.6585,0.2285,0.243,0.5861,0.6814,0.6469
HMGB3,0.7232,0.48,0.5358,0.7597,0.6759,0.7191,0.8547,0.9069,0.7823,0.3074,0.5949,0.6534,0.7285,0.8232
HMGN1,0.2182,0.4078,0.0688,0.6091,0.504,0.2847,0.5345,0.4763,0.3889,0.2425,0.2767,0.6448,0.4865,0.713
HMGN2,0.2295,0.2056,0.2793,0.298,0.275,0.424,0.406,0.3184,0.3996,,0.2964,0.3463,0.5539,0.556
HMGCL,0.7624,0.056,0.4156,0.7159,0.6433,0.2177,0.724,0.7471,0.6681,0.3098,0.5463,0.5952,0.7433,0.8105
HMGCR,0.0419,,-0.1543,0.2924,,,0.545,0.4266,0.5146,,0.3602,,0.4812,0.7128
HMGCS1,0.7701,0.3832,0.5489,0.8663,0.739,0.4899,0.8341,0.7748,0.7484,0.4111,0.6847,0.6419,0.889,0.8624
HMGCS2,0.5836,0.5039,0.8078,0.4481,0.1909,0.4836,0.2073,0.6188,0.4695,0.8019,0.6937,0.0273,,0.8798
HMGA1,0.0884,0.2977,0.3904,0.6436,0.5591,0.5077,0.5436,0.3398,0.658,0.2712,0.5926,0.5929,0.6366,0.698
HMMR,0.3191,0.2292,-0.0966,0.6165,0.4969,-0.1435,0.6621,0.6093,0.7294,,0.3721,,,0.5525
HMOX1,0.4963,0.3127,0.338,0.7085,0.5259,0.8264,0.7327,0.7724,0.7893,,0.537,0.7421,0.9014,0.7989
HMOX2,0.4139,0.2226,0.4166,0.8377,0.4275,0.5911,0.7652,0.7497,0.3066,-0.0935,0.5659,0.4964,0.5773,0.8172
FOXA1,0.7205,0.3419,0.3129,0.4615,,,0.7766,0.5431,0.707,0.2217,,,,0.7565
HNMT,0.7089,0.3359,0.4613,0.7432,0.605,0.8322,0.8367,0.8431,0.7829,0.4417,0.5322,0.7454,0.766,0.6142
HNRNPA1,0.2274,0.1874,0.1225,0.4526,0.2653,0.1492,0.467,0.2545,0.0944,,0.1027,0.4358,0.3791,0.6622
HNRNPA2B1,0.1704,0.2083,0.0493,0.3708,0.3661,0.08,0.4361,0.3703,0.4008,-0.2885,0.2208,0.3116,0.5266,0.4582
HNRNPAB,0.5017,0.3899,0.5099,0.4811,0.5236,0.5533,0.5772,0.6114,0.4371,0.1189,0.198,0.5287,0.5791,0.655
HNRNPC,0.3096,0.3298,0.1974,0.3535,0.4181,0.3382,0.4254,0.4386,0.2446,,0.0144,0.4577,0.4127,0.3581
HNRNPD,0.4553,0.431,0.2047,0.3935,0.295,0.479,0.4337,0.3637,0.468,-0.2466,0.0626,0.2888,0.62,0.5757
HNRNPF,0.4816,0.3955,0.2716,0.4936,0.5854,0.26,0.689,0.6155,0.4553,0.0428,0.0929,0.6878,0.5285,0.6201
HNRNPH1,0.3279,0.0305,0.0781,0.1168,0.1804,0.2603,0.2842,0.5138,0.0398,-0.18,0.0818,0.5226,0.6558,0.3142
HNRNPH2,0.3614,0.0568,0.1754,0.0772,0.1468,0.1101,0.3225,0.4426,0.1557,,-0.1181,0.0731,0.0022,0.3927
HNRNPH3,0.3696,0.2217,0.2486,0.2935,0.4723,0.1884,0.4365,0.2855,0.3382,-0.0664,0.1356,0.2474,0.4711,0.6509
HNRNPK,0.2655,0.3885,-0.0184,0.3231,0.3993,0.3681,0.5072,0.3139,0.1901,-0.1063,0.0766,0.5051,0.2432,0.5082
HNRNPL,0.3051,0.1523,0.1403,0.398,0.3581,0.0809,0.4315,0.2013,-0.0382,-0.0754,0.143,0.6341,0.6406,0.6263
HNRNPU,0.2907,0.2204,0.2339,0.5667,0.3161,0.3079,0.5817,0.5577,0.3449,-0.1958,-0.0184,0.3839,0.4583,0.6191
HOXA4,0.2152,,0.0246,,,,,0.2544,,,,,,
HOXA10,0.1316,,0.0563,,,0.4831,,,0.6328,,,,,
HOXB4,0.6118,,,0.6806,0.3252,0.3622,,0.5126,0.7267,,,,0.8056,
HOXB5,0.2028,,,,0.4812,,,,0.7457,,,,,
HOXB6,0.4741,,,,0.5482,0.3844,,,0.7705,,,,,
HOXB7,0.2888,,,,,,0.6611,,0.8139,,,,,
HOXB8,0.305,,,,,,,,0.7828,,,,,
HOXB9,0.0565,,,,,,,,0.414,,,,,
HOXC8,0.3472,,,,0.0324,,0.1986,,,,,,,
HOXC9,0.2564,,,,,,,,,,,,,
HOXC10,0.7721,,,,,0.3708,,,,,,,0.6241,
HOXD9,0.2452,,,0.1791,,,,,0.5323,,,,0.2308,
HOXD10,0.077,,,,,,,,0.5763,,,,,
HP,0.2309,0.0902,0.176,-0.0629,0.0839,0.2189,0.1765,0.4322,0.3526,0.1045,0.1113,0.1049,0.2494,0.64
HPCAL1,0.61,0.268,0.4566,0.6028,0.4676,0.8318,0.6813,0.6451,0.4811,,0.4611,0.5658,0.2599,0.6367
HPGD,0.4445,0.0985,0.4566,0.6159,0.4674,0.5686,0.6198,0.7655,0.7621,0.4129,0.7937,,,0.7768
HPN,0.1848,,,,0.1722,0.4153,,0.1287,0.1723,0.2519,,,,0.6722
HPR,-0.021,0.1324,0.0109,-0.0633,0.0322,0.1011,-0.0394,0.2042,-0.0213,-0.2375,0.0827,-0.2203,-0.2479,0.4237
HPRT1,0.7205,0.3569,0.2632,0.57,0.7296,0.44,0.7619,0.777,0.7028,-0.012,0.3978,0.6079,0.4038,0.7546
HPS1,0.1679,0.1852,,-0.0262,,0.0837,0.2513,0.0583,0.3937,,0.1084,,0.5208,0.2473
HPX,0.0671,0.038,-0.0165,-0.0503,-0.0354,0.1191,-0.0091,0.1114,0.1041,0.1101,0.0806,-0.069,-0.1448,0.1902
HRAS,0.1328,-0.0777,,0.4069,-0.0129,-0.1482,0.3683,0.2162,0.3126,,0.2447,0.0679,0.0801,-0.2675
AGFG1,0.5231,0.3216,0.2673,0.5905,0.4035,0.5778,0.7346,0.5434,0.4832,0.2003,0.4758,0.3465,0.3745,0.4077
AGFG2,0.5082,0.4911,0.4756,0.8091,0.5074,0.6066,0.8005,0.7555,0.6353,0.3413,0.7117,0.6144,0.7332,0.6192
HRC,0.3887,0.2434,,0.7641,0.3834,0.6582,0.1811,0.5966,0.4069,,0.2982,,0.2033,0.4548
HRG,-0.0109,0.0468,0.0779,-0.1628,0.0663,-0.1049,-0.2107,-0.0238,-0.0202,0.2212,0.0067,-0.0531,-0.1305,0.5157
PRMT2,0.3911,0.1237,,,0.3598,0.3053,0.5435,0.3042,0.5421,,0.3844,0.4631,0.5399,0.3869
PRMT1,0.4653,0.3442,0.2081,0.7355,0.4883,0.2372,0.6727,0.6496,0.5001,0.0698,0.249,0.7579,0.7235,0.7606
HES1,0.4727,,,0.3633,,0.7109,0.6676,0.34,0.46,,0.4017,,0.4698,
HSBP1,0.1767,0.3251,0.0218,0.4911,0.2169,0.3901,0.5537,0.3811,0.469,0.3148,-0.0075,,0.5165,0.0929
HSD11B1,0.4185,0.2658,,0.5494,0.6204,0.5199,0.7876,0.8038,,,0.7168,,0.4621,0.8785
HSD11B2,0.4579,0.4615,0.5116,0.4773,0.5216,0.3818,0.2032,0.6821,0.749,,0.2521,,,0.1439
HSD17B1,0.1722,,,,,,,,,,0.1754,,,
HSD17B2,0.5272,0.5492,0.6046,0.5094,,0.4042,0.318,0.7548,0.6848,,0.857,,,0.8981
HSD17B4,0.6214,0.3362,0.5449,0.611,0.6333,0.7069,0.5574,0.5688,0.6064,0.2449,0.3399,0.5456,0.501,0.7123
HSF1,0.5365,0.3272,0.34,0.4796,0.5692,0.2014,0.5005,0.5441,0.2394,-0.0341,0.222,0.3488,0.2236,0.667
HSF2,0.0227,,,,,,0.134,0.1627,-0.0519,,,,-0.0671,
DNAJB2,0.3618,0.2132,0.2236,0.8584,0.4825,0.5007,0.8209,0.7473,0.7076,0.3242,0.1998,0.4514,0.6785,0.4661
DNAJA1,0.6407,0.3208,0.3944,0.6163,0.5881,0.5577,0.694,0.6519,0.6361,0.0643,0.4861,0.4949,0.573,0.5925
HSPA1A,0.5493,0.1996,0.2283,0.4809,0.199,0.2752,0.3476,0.3304,0.1488,-0.2253,0.1578,0.4197,0.5447,0.6719
HSPA1L,0.2803,0.2359,0.1179,0.1602,0.3526,0.1433,0.2073,0.1835,0.1607,-0.1197,-0.0311,0.2887,0.3271,0.2883
HSPA2,0.7704,0.3279,0.1554,0.7084,0.162,0.4312,0.7105,0.4804,0.5024,0.2669,0.1656,0.7844,0.7678,0.5594
HSPA4,0.6736,0.6244,0.364,0.8259,0.7363,0.8426,0.7856,0.7226,0.6713,-0.0577,0.4143,0.3186,0.6231,0.5421
HSPA5,0.5632,0.1744,0.3693,0.5659,0.5718,0.4139,0.4861,0.5345,0.5673,0.022,0.4984,0.503,0.7203,0.489
HSPA6,0.041,0.1697,-0.2244,0.2258,-0.1007,0.1793,0.2947,0.1073,0.0836,0.0806,0.2766,-0.0241,0.3302,-0.034
HSPA8,0.3205,0.3867,0.1982,0.405,0.4263,0.2941,0.4003,0.3892,0.3591,-0.0453,0.0479,0.1851,0.1395,0.1767
HSPA9,0.5703,0.3147,0.4196,0.68,0.7727,0.6916,0.7302,0.7346,0.6044,-0.0316,0.3947,0.4918,0.5077,0.7283
HSPB1,0.6841,0.2817,0.5073,0.8629,0.6663,0.5234,0.8911,0.8559,0.6471,0.1555,0.408,0.5114,0.7126,0.6469
HSPB2,0.2968,0.1746,,0.6949,0.214,0.5398,0.3695,0.2184,0.5969,0.0292,0.2259,0.4404,0.653,
HSP90AA1,0.6563,0.4978,0.3558,0.5981,0.4811,0.5631,0.555,0.5017,0.5168,-0.1152,0.2816,0.5453,0.4582,0.4755
IGSF3,0.3678,-0.215,,0.8055,0.6209,0.614,0.8851,0.7038,0.6317,,0.4255,0.3513,0.6849,0.7353
HSP90AB1,0.4883,0.3639,0.2195,0.6147,0.3375,0.4064,0.6002,0.4464,0.3036,0.0243,0.3841,0.4194,0.2576,0.5861
HSPD1,0.66,0.368,0.2778,0.6294,0.6186,0.4551,0.634,0.6764,0.617,-0.1428,0.3352,0.4633,0.2188,0.5155
HSPE1,0.5685,0.2139,0.2161,0.7051,0.5496,0.4842,0.5971,0.5223,0.5048,,0.2839,0.3639,0.0623,0.2887
DNAJB1,0.431,0.3023,0.3865,0.6144,0.6813,0.374,0.7439,0.5117,0.3426,-0.2382,0.353,0.519,0.4709,0.4819
HSPG2,0.4876,0.2089,0.0644,0.4316,0.2724,0.5532,0.4207,0.4353,0.3607,0.1673,0.3288,0.6807,0.5554,0.3962
NDST1,0.2832,,,0.2978,-0.1145,0.1502,0.1403,0.3514,-0.0424,-0.0053,0.1373,,0.2381,0.2885
HUS1,0.1439,0.0574,0.2531,0.2943,0.2947,0.2395,0.2743,0.2312,0.2254,,0.072,,0.3053,0.1627
TNC,0.549,0.433,0.5177,0.7067,0.5276,0.7114,0.7739,0.7372,0.744,0.3858,0.7617,0.5683,0.5268,0.599
HYAL1,0.2094,,,0.1555,,0.1164,0.392,0.5093,0.3376,,0.2547,,,0.5385
IARS,0.4916,0.334,0.3655,0.6232,0.5424,0.7523,0.8203,0.7792,0.567,0.1112,0.4413,0.4542,0.705,0.5855
ICA1,0.6196,0.3766,0.218,0.5483,0.5548,0.6159,0.865,0.6861,0.7923,0.2904,0.6001,0.1434,0.5606,0.8152
ICAM1,0.7491,0.4017,0.5757,0.7966,0.796,0.5748,0.8282,0.8178,0.8674,0.5044,0.7032,0.7017,0.847,0.8575
ICAM2,0.374,0.1622,0.2877,0.5977,0.3524,0.7448,0.7661,0.7227,0.4068,,0.3269,,0.6152,0.4592
ICAM3,0.3951,0.2177,0.2626,0.7645,0.4859,0.3796,0.8043,0.6656,0.7107,,0.3594,,0.5619,0.0145
IRF8,0.5789,0.288,0.348,0.802,,0.5793,0.9074,0.8002,0.7443,,0.4601,,0.664,0.5127
MRPL58,0.3871,0.0298,-0.0065,0.3816,0.2551,0.2424,0.5194,0.3324,0.1061,-0.0279,0.2307,,0.1709,0.2042
ID1,0.2112,,,0.2076,,,0.6555,0.4896,0.4527,,,,0.7147,
IDE,0.5658,0.4373,0.443,0.7923,0.6503,0.6533,0.8704,0.8257,0.8176,0.3584,0.6379,0.5657,0.6805,0.6142
IDH1,0.7357,0.2393,0.4096,0.7351,0.715,0.5947,0.8128,0.7034,0.8525,0.2742,0.3639,0.6655,0.7516,0.6984
IDH2,0.7592,0.0748,0.516,0.5703,0.698,0.4003,0.7301,0.7151,0.6689,0.2528,0.5353,0.5523,0.5778,0.7374
IDH3A,0.4214,0.1512,0.0781,0.5417,0.6268,0.3629,0.6427,0.583,0.2566,0.1907,0.407,0.4557,0.3266,0.6363
IDH3B,0.1585,0.3556,0.1226,0.1676,0.1755,0.0544,0.3057,0.1667,-0.1421,0.1199,0.0641,0.1231,0.071,0.1514
IDH3G,0.1022,0.0114,0.1861,0.0744,0.266,-0.021,0.1847,0.1582,0.0785,0.1912,-0.1605,-0.118,-0.0234,0.1788
IDI1,0.778,0.3598,0.2029,0.7933,0.6613,-0.1127,0.7389,0.6806,0.5948,0.2163,0.5082,0.3833,0.5943,0.7082
IDS,0.4152,0.2435,,0.4877,0.3711,0.2735,0.6418,0.7123,0.4719,0.0051,0.223,0.2071,0.5867,0.1693
IDUA,0.5102,0.2148,0.181,0.6906,0.5489,0.4031,0.4858,0.4626,0.6362,0.2133,0.1524,0.102,0.3535,0.579
CFI,0.3436,0.2842,0.2465,0.3373,0.2854,-0.066,0.407,0.4556,0.5717,0.3045,0.1326,0.5624,0.4893,0.5486
IFI16,0.6408,0.2565,0.6371,0.626,0.741,0.7074,0.7702,0.8684,0.9117,0.5964,0.5221,0.7719,0.857,0.8323
IFI27,0.4648,,0.1689,,-0.1327,,,,,,,,,0.7379
IFI35,0.5698,0.3794,0.5139,0.8567,0.7627,0.4491,0.7946,0.7445,0.7553,0.1012,0.4466,0.642,0.5981,0.5325
SP110,0.633,0.3392,0.4482,0.8821,0.4998,0.5528,0.8732,0.6954,0.6386,0.2085,0.6979,0.3144,0.6312,0.75
IFIT2,0.669,0.3863,0.4923,0.9115,0.7692,0.7354,0.8913,0.8553,0.8421,0.006,0.7854,0.663,0.8986,0.721
IFIT1,0.7558,0.468,0.4981,0.9253,0.7673,0.556,0.9175,0.8806,0.8767,0.4774,0.8724,0.5181,0.9191,0.7112
IFIT3,0.7857,0.574,0.5989,0.9489,0.8527,0.8046,0.9321,0.9036,0.9226,0.487,0.924,0.7311,0.8954,0.7171
IFNGR1,0.4996,0.2752,0.3087,0.57,0.3738,0.4941,0.5605,0.491,0.436,,0.0696,0.1974,0.6012,0.455
IFRD1,0.4463,0.2114,-0.1257,0.2174,0.2805,0.1301,0.5212,0.4917,0.2927,0.5337,0.2159,,0.5261,0.1048
IGBP1,0.2862,0.0879,0.4478,0.6023,0.3412,0.1455,0.5941,0.3776,0.4421,0.1891,0.1538,0.0764,0.4794,0.4001
IGF1,0.3245,0.4148,,0.3921,0.5228,0.3933,0.4596,0.2347,0.5916,,0.4907,,0.2047,
IGF1R,0.695,0.3007,0.3645,0.7563,0.5004,0.6908,0.8409,0.7428,0.5635,0.3092,0.3747,0.5415,0.7801,-0.0222
IGF2,0.5834,0.282,0.4764,0.5334,0.6044,0.3561,0.5733,0.5496,0.3974,,0.3133,0.5267,0.5033,0.7554
IGF2R,0.3534,0.4016,0.2707,0.5979,0.5805,0.4783,0.5307,0.5056,0.3933,0.2542,0.3014,0.6547,0.7627,0.2945
IGFALS,0.0766,0.3004,0.0869,0.0139,0.0023,0.1259,0.0909,-0.0985,0.1145,-0.0565,-0.1085,-0.0484,0.0038,0.4349
IGFBP2,0.7756,0.432,0.6991,0.8913,0.7839,0.1574,0.9209,0.8766,0.7757,0.59,0.7227,0.7281,0.6939,0.8523
IGFBP3,0.5924,0.3907,0.56,0.7905,0.5436,0.6641,0.8181,0.8046,0.7758,,0.8301,0.4111,0.7383,0.7115
IGFBP4,0.7019,0.3712,0.3315,0.6567,0.5294,0.3408,0.6178,0.5777,0.8121,,0.432,,0.658,0.517
IGFBP5,0.6874,0.4444,0.2707,0.85,0.5239,0.5831,0.8079,0.7832,0.7989,0.2428,0.7807,0.5846,0.7381,0.3506
IGFBP6,0.3558,0.4404,0.1952,0.7646,0.43,0.4118,0.5958,0.4681,0.4117,,0.552,,0.6656,
IGFBP7,0.4877,0.2436,0.5239,0.7868,0.6315,0.4758,0.807,0.706,0.7047,0.5781,0.6039,0.7058,0.7867,0.6069
CYR61,0.3889,-0.0672,0.5567,0.5672,0.5276,0.483,0.5867,0.6201,0.464,0.2737,0.5001,,0.4232,0.0312
IGHMBP2,0.3298,-0.1657,-0.0679,0.5456,0.1435,0.0366,0.5157,0.4338,0.2924,,0.092,,0.1211,0.3213
JCHAIN,0.5653,0.1976,0.2949,0.4864,0.378,0.4063,0.7887,0.7176,0.5327,0.3568,0.5965,0.3272,0.5329,0.3669
RBPJ,0.282,-0.0296,0.1921,0.587,0.3091,0.3595,0.6756,0.6261,0.5893,-0.4729,0.3759,0.4134,0.5088,0.535
IGLL1,0.0857,-0.0264,0.0138,0.2931,0.0975,0.203,0.4893,0.4068,0.2199,,0.3405,,0.1178,0.1225
IGSF1,0.4144,,,,,,,,,,,0.5953,0.8525,0.7176
IK,0.1846,0.0206,0.0502,-0.0121,0.2102,-0.0191,0.2001,0.1032,0.0018,-0.0373,0.0449,0.1878,0.1425,0.344
IKBKB,0.7161,0.3606,0.285,0.6165,0.5627,0.439,0.7938,0.7218,0.4294,0.3273,0.324,0.332,0.5895,0.4102
IL1RAP,0.3205,0.2178,,0.8123,0.6599,0.4952,0.8649,0.7216,0.7128,,0.6092,0.8961,0.9176,0.6521
IL1RN,0.5787,0.3391,0.4155,0.8759,0.522,,0.8754,0.7556,0.7719,,0.7219,,0.6173,0.726
IL6ST,0.7252,0.2662,,0.396,0.3831,0.3651,0.5642,0.6875,0.4992,0.1183,0.1072,0.4917,0.274,0.5762
IL13RA1,0.3487,,,,,,0.6851,0.6238,,,,,0.6562,0.464
IL16,0.6126,0.1283,0.3854,0.7975,0.6507,0.797,0.8673,0.7215,0.7666,0.0892,0.629,0.5344,0.852,0.6979
IL18,0.6527,0.4338,0.4429,0.8814,0.687,0.8194,0.8433,0.8157,0.8027,,0.5296,0.6456,0.8684,0.8112
FOXK2,0.5575,0.2668,0.0267,0.5011,0.2712,0.0944,0.6688,0.3378,0.3393,,0.0544,0.4772,0.4141,0.3674
ILF2,0.0771,0.1706,-0.0009,0.3704,0.1139,-0.0371,0.416,0.4144,0.0335,0.0483,-0.1682,0.686,0.2896,0.2368
ILF3,0.4264,0.416,0.2058,0.5248,0.4845,0.2757,0.7557,0.6203,0.4195,0.5406,0.3782,0.6203,0.656,0.6206
ILK,0.4283,0.4164,0.2697,0.4611,0.3958,0.4479,0.7523,0.4242,0.5275,0.0402,0.2219,0.2752,0.5058,0.3538
IMPA1,0.579,0.2443,0.0948,0.3983,0.6017,0.2951,0.5731,0.5751,0.528,0.213,0.4253,0.3469,0.506,0.3114
IMPA2,0.6819,0.3906,0.4236,0.8784,0.7092,0.8803,0.926,0.8944,0.9135,,0.6322,,0.6334,0.8216
IMPDH1,0.695,0.3202,0.258,0.5642,0.2682,0.7372,0.5656,0.6828,0.7264,0.1926,0.3697,0.3295,0.6255,0.6983
IMPDH2,0.7011,0.3379,0.3592,0.7621,0.6833,0.4623,0.7536,0.5396,0.5969,0.1632,0.4137,0.6291,0.6377,0.7125
INCENP,0.4887,-0.1828,0.1309,0.2615,0.0685,-0.1996,0.6926,0.3507,0.4972,,0.1077,,0.1093,0.0882
IDO1,0.7144,0.331,0.6563,0.9134,0.689,0.9111,0.8101,0.8722,0.8668,,0.8182,,0.5153,0.3228
ING1,0.3183,0.0239,,0.2438,0.2868,0.0539,0.4281,0.3948,0.1468,,0.0029,0.4141,0.5098,0.458
ING2,0.0879,,,0.3467,0.1573,0.1731,0.3302,0.2773,0.1084,,-0.1479,,,
INHBA,0.5736,0.4823,,0.7798,0.7216,,0.6911,0.6625,0.5866,,0.6931,,,
INHBB,0.5294,,,,,,0.4537,0.5944,0.4079,,,,,0.3944
CXCL10,0.572,,,0.8239,,,0.6155,0.4598,,0.2294,0.6772,,,
INPP1,0.6801,0.3128,0.5442,0.9018,0.576,0.6384,0.8863,0.7507,0.7584,0.4131,0.6501,0.8081,0.812,0.8082
INPP4A,0.5253,0.0883,0.2219,0.7811,0.277,0.6982,0.8269,0.724,0.5459,0.1351,0.4353,0.5347,0.3973,0.3417
INPP5A,0.3682,0.4162,0.2983,0.5238,0.5513,0.7062,0.7116,0.6092,0.6048,0.124,0.3995,0.565,0.7683,0.716
INPP5B,0.4803,0.0745,0.098,0.4348,0.4417,0.1389,0.5957,0.6809,0.4045,,0.1895,,0.4176,0.2146
INPP5D,0.6275,0.1551,0.6385,0.8965,0.5531,0.732,0.8954,0.7933,0.7946,0.1836,0.8018,0.6204,0.8223,0.6313
INPPL1,0.7045,0.2727,0.0642,0.7667,0.4822,0.3713,0.6719,0.5991,0.5841,0.0753,0.1827,0.6549,0.7066,0.3704
INSM1,0.3293,,,,,,,,,,,,0.6412,
INSR,0.5122,0.4621,0.3307,0.7776,0.512,0.7637,0.657,0.7943,0.6924,0.3102,0.6292,0.3751,0.6305,0.7512
EIF3E,0.2742,-0.0135,-0.0048,0.1893,0.0726,-0.0328,0.2904,0.168,0.1174,-0.0522,0.0496,0.3919,0.229,0.421
IRAK1,0.5244,0.213,0.1452,0.4927,0.379,0.6776,0.5983,0.5045,0.3381,0.3946,0.1175,0.5626,0.4656,0.494
ITGA6,0.7378,0.52,0.5518,0.8908,0.7034,0.6651,0.8427,0.8413,0.723,0.2272,0.6643,0.7561,0.752,0.6241
IREB2,0.2933,0.2096,0.1878,0.5035,0.26,-0.0237,0.3961,0.3672,0.4144,0.0878,0.3956,0.3805,0.3707,0.1965
IRF1,0.518,0.231,,0.4836,,,0.6164,0.4055,0.1623,,,,,0.3231
IRF2,0.4556,0.0266,0.3226,0.4708,0.2482,0.4253,0.4409,0.6073,0.2855,,0.2013,,0.4757,0.3155
IRF3,0.2673,0.199,0.1174,0.4822,0.5709,0.3545,0.5014,0.4273,0.2615,-0.1195,0.3003,0.434,0.4387,0.5725
IRF4,0.7132,0.0974,0.4236,0.8869,,0.438,0.8617,0.8516,0.7032,,0.6149,,,0.441
IRF5,0.4828,0.2365,,0.6159,0.3739,0.491,0.6349,0.5292,0.6735,,0.4947,,0.7008,0.3631
IRF6,0.7067,0.2833,0.3521,0.8336,0.582,0.8032,0.8599,0.6942,0.8264,0.4029,0.7898,,,0.845
IRF7,0.2493,,,0.676,0.0621,-0.0283,0.7218,0.724,0.4044,,,,,0.6618
IRS1,0.8152,0.1349,0.0529,0.8185,0.4636,0.7316,0.8859,0.8301,0.8847,,0.6071,0.4765,0.6699,0.7713
ISG20,0.6495,0.2856,0.4572,0.8656,0.6617,0.7443,0.8707,0.8201,0.749,,0.7055,,0.788,0.7442
ISLR,0.6463,0.5082,0.4326,0.8732,0.6863,0.805,0.7437,0.7813,0.7213,0.5552,0.6256,0.5246,0.8079,0.76
ITGA1,0.429,0.1506,0.3293,0.5477,0.54,0.7646,0.7858,0.6647,0.7757,0.0825,0.3356,0.3475,0.6306,0.602
ITGA2,0.5768,0.3635,0.4529,0.7382,0.6427,0.7553,0.7915,0.8137,0.7866,0.3305,0.6656,0.8095,0.6311,0.8545
ITGA2B,-0.0361,-0.0985,0.0081,-0.0059,-0.0024,0.2761,0.1163,0.0176,0.2014,,0.4044,0.1628,0.1519,0.2591
ITGA3,0.4959,0.1466,0.3628,0.8055,0.6792,0.7078,0.7988,0.681,0.7373,0.4533,0.6739,0.7872,0.8521,0.4763
ITGA4,0.444,0.3001,0.0122,0.7735,0.3877,0.5879,0.8606,0.793,0.7764,,0.2947,,0.7837,0.4244
ITGA5,0.5605,0.4168,0.4779,0.7971,0.6328,0.7502,0.8318,0.8511,0.663,0.3143,0.7631,0.5216,0.8441,0.6273
ITGA7,0.4967,0.3713,0.3307,0.7061,0.4226,0.6957,0.6951,0.2857,0.5225,0.2184,0.6105,0.5359,0.4217,0.393
ITGA9,0.2574,0.4271,0.2733,0.4209,0.5174,,0.574,0.7339,0.7937,0.0258,0.2446,,0.7218,0.5649
ITGAE,0.0739,0.2852,,0.3512,,,0.5895,0.6182,0.2503,,0.0676,,,
ITGAL,0.4948,0.1728,0.4638,0.8724,0.6464,0.8394,0.8758,0.763,0.6781,0.0375,0.6064,0.2648,0.8472,0.2422
ITGAM,0.4138,0.1865,0.4962,0.2805,0.4816,0.7575,0.3535,0.396,0.6072,0.1614,0.6001,0.6347,0.8649,0.4353
ITGAV,0.543,0.4774,0.3907,0.7825,0.7266,0.4013,0.8009,0.7669,0.5226,0.265,0.5889,0.806,0.6259,0.5436
ITGAX,0.5638,0.4639,0.6058,0.7745,0.5712,0.8385,0.7236,0.7948,0.788,0.2033,0.7388,0.6465,0.8322,0.5698
ITGB1,0.2771,0.1362,0.4332,0.7233,0.4418,0.398,0.7601,0.7113,0.3739,-0.0853,0.4887,0.5368,0.6967,0.2307
ITGB2,0.545,0.3266,0.5354,0.5468,0.6372,0.661,0.644,0.6027,0.617,0.5155,0.5689,0.7423,0.8321,0.6963
ITGB3,0.3671,0.2187,0.2774,0.267,0.3613,0.7904,0.6111,0.6756,0.5358,0.1621,0.5577,0.5807,0.7422,0.5175
ITGB4,0.6348,0.5012,0.267,0.5637,0.6461,0.6751,0.8038,0.8167,0.6708,0.3822,0.5684,0.7839,0.6014,0.5918
